Dataset,Status,Original_Samples,Original_Features,Processed_Samples,Selected_Features,Best_Base_Model,Best_Base_Accuracy,Best_Stacking_Model,Best_Stacking_Accuracy,Improvement,Improvement_Percent,Duration_Seconds
PIMA,completed,2000,9,982,44,CNN,0.7715736040609137,Stack-ANN,0.7766497461928934,0.005076142131979711,0.5076142131979711,138.19453048706055
DDFH,completed,1000,14,2532,13,ANN,0.9861932938856016,Stack-LSTM,0.9861932938856016,0.0,0.0,216.64632511138916
